region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
CARAGA,SURIGAO DEL NORTE,ALEGRIA,0.9963885879,1.222767839,1250,1519,2769,1240,1519,2759,4562500,7595000,12157500,7270800,7595000,14865800,7595000
VII,CEBU,ALEGRIA,0.9979209979,0.9981988917,1803,2045,3848,1795,2045,3840,8383950,12270000,20653950,8346750,12270000,20616750,12270000
XII,COTABATO (NORTH COTABATO),ALEOSAN,0.9971637911,0.9976960131,3177,5285,8462,3153,5285,8438,11596050,26425000,38021050,11508450,26425000,37933450,26425000
IV-A,CAVITE,ALFONSO,1,1,1253,6460,7713,1253,6460,7713,6452950,41990000,48442950,6452950,41990000,48442950,41990000
II,NUEVA VIZCAYA,ALFONSO CASTANEDA,0.8672475654,0.8602557424,412,1539,1951,410,1282,1692,1709800,8464500,10174300,1701500,7051000,8752500,8464500
CAR,IFUGAO,ALFONSO LISTA (POTIA),0.9476017097,0.9445759474,1405,4912,6317,1405,4581,5986,5830750,27016000,32846750,5830750,25195500,31026250,25828000
III,NUEVA ECIJA,ALIAGA,0.9983097401,0.9984915017,3032,11167,14199,3015,11160,14175,15614800,72585500,88200300,15527250,72540000,88067250,72540000
II,ISABELA,ALICIA,0.9995999733,0.9990163466,1729,13270,14999,1723,13270,14993,7175350,72985000,80160350,7096500,72985000,80081500,72985000
VII,BOHOL,ALICIA,1,1,1528,2801,4329,1528,2801,4329,7105200,16806000,23911200,7105200,16806000,23911200,16806000
IX,ZAMBOANGA SIBUGAY,ALICIA,0.9590558767,0.9982529806,4829,1399,6228,4574,1399,5973,15987000,6995000,22982000,15946850,6995000,22941850,6995000
I,ILOCOS SUR,ALILEM,1,1,560,700,1260,560,700,1260,2324000,3850000,6174000,2324000,3850000,6174000,3850000
VI,ILOILO,ALIMODIAN,0.9164852056,0.9127799462,1605,6202,7807,1581,5574,7155,7481850,37212000,44693850,7351650,33444000,40795650,37212000
IV-A,BATANGAS,ALITAGTAG,1,1,980,2897,3877,980,2897,3877,5047000,18830500,23877500,5047000,18830500,23877500,18830500
II,CAGAYAN,ALLACAPAN,0.8874783612,0.8838105339,932,6000,6932,915,5237,6152,3867800,33000000,36867800,3780650,28803500,32584150,33000000
VIII,NORTHERN SAMAR,ALLEN,0.9210585333,0.9137352161,1402,3057,4459,1402,2705,4107,5117300,15285000,20402300,5117300,13525000,18642300,15285000
VIII,SAMAR (WESTERN SAMAR),ALMAGRO,1,1,777,805,1582,777,805,1582,2836050,4025000,6861050,2836050,4025000,6861050,4025000
VIII,BILIRAN,ALMERIA,0.9960053262,0.9960010509,515,3240,3755,513,3227,3740,1879750,16200000,18079750,1872450,16135000,18007450,16200000
VII,CEBU,ALOGUINSAN,0.9996170783,0.9996847239,1363,3860,5223,1361,3860,5221,6337950,23160000,29497950,6328650,23160000,29488650,23160000
X,MISAMIS OCCIDENTAL,ALORAN,0.9897678079,0.9913767279,1816,3266,5082,1764,3266,5030,8444400,19596000,28040400,8202600,19596000,27798600,19596000
VI,AKLAN,ALTAVAS,0.9989967394,0.9993686312,1350,2637,3987,1346,2637,3983,6272850,15822000,22094850,6258900,15822000,22080900,15822000
X,MISAMIS ORIENTAL,ALUBIJID,0.9996591103,0.9997122623,2134,3733,5867,2132,3733,5865,9923100,22398000,32321100,9913800,22398000,32311800,22398000
