region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
I,LA UNION,,0.9697400454,0.9684623023,30909,152700,183609,30890,147163,178053,128272350,839850000,968122350,128193500,809396500,937590000,839850000
IV-A,LAGUNA,,0.995206398,0.9951198088,42326,448328,490654,42324,445978,488302,217978900,2914132000,3132110900,217968600,2898857000,3116825600,2914132000
X,LANAO DEL NORTE,,0.9940133774,0.9942166523,66916,116827,183743,66363,116280,182643,311159400,700962000,1012121400,308587950,697680000,1006267950,700962000
BARMM,LANAO DEL SUR,,0.9676163773,1.094687506,77927,53207,114842,74272,48465,111123,284433550,266035000,469008550,271092800,242325000,513417800,266035000
VIII,LEYTE,,0.9037941636,0.8972645186,122771,297796,420567,120329,259777,380106,448114150,1488980000,1937094150,439200850,1298885000,1738085850,1488980000
BARMM,MAGUINDANAO,,0.9794866177,0.9805610806,119749,26302,146051,116840,26215,143055,437083850,131510000,568593850,426466000,131075000,557541000,131510000
IV-B,MARINDUQUE,,0.7423045256,0.7304597376,11338,57891,69229,11319,40070,51389,41383700,289455000,330838700,41314350,200350000,241664350,286480000
V,MASBATE,,0.9898951596,0.9917541623,73108,114129,187237,71216,114129,185345,266844200,570645000,837489200,259938400,570645000,830583400,570645000
X,MISAMIS OCCIDENTAL,,0.9867844626,0.9865332315,33826,75742,109568,33478,74642,108120,157290900,454452000,611742900,155672700,447832000,603504700,454452000
X,MISAMIS ORIENTAL,,0.9988475261,0.9986659306,71363,236670,308033,71008,236670,307678,331837950,1420020000,1751857950,330187200,1419333650,1749520850,1420020000
CAR,MOUNTAIN PROVINCE,,0.9725874366,0.971318271,6468,28443,34911,6463,27491,33954,26842200,156436500,183278700,26821450,151200500,178021950,156046000
NCR,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",,0.9952040033,0.9958778016,44929,185680,230609,43823,185680,229503,298777850,1485440000,1784217850,291422950,1485440000,1776862950,1485440000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",,0.9954366944,0.9959552249,46130,414501,460631,44528,414001,458529,306764500,3316008000,3622772500,296111200,3312008000,3608119200,3316008000
NCR,"NCR, SECOND DISTRICT (Not a Province)",,0.9981297071,0.9984178721,67609,590042,657651,66379,590042,656421,449599850,4720336000,5169935850,441420350,4720336000,5161756350,4720336000
NCR,"NCR, THIRD DISTRICT (Not a Province)",,0.9966976486,0.9971796808,69175,368392,437567,67730,368392,436122,460013750,2947136000,3407149750,450404500,2947136000,3397540500,2947136000
VI,NEGROS OCCIDENTAL,,0.9908956197,0.9913382715,125592,469616,595208,124460,465329,589789,582468300,2817696000,3400164300,578739000,2791974000,3370713000,2817696000
VII,NEGROS ORIENTAL,,0.9770351387,0.9767955323,70338,250021,320359,69047,243955,313002,327071700,1500126000,1827197700,321068550,1463730000,1784798550,1500126000
VIII,NORTHERN SAMAR,,0.9819167522,0.9799763493,44948,66094,111042,44846,64188,109034,164060200,330470000,494530200,163687900,320940000,484627900,330470000
III,NUEVA ECIJA,,0.9912449986,0.9911949252,85373,395495,480868,84741,391917,476658,439665800,2570717500,3010383300,436416150,2547460500,2983876650,2560181000
II,NUEVA VIZCAYA,,0.892763686,0.8871878985,15016,80903,95919,15006,70627,85633,62316400,444966500,507282900,61606750,388448500,450055250,444966500
IV-B,OCCIDENTAL MINDORO,,0.9993321437,0.9994663933,30644,65185,95829,30580,65185,95765,111850600,325925000,437775600,111617000,325925000,437542000,325925000
IV-B,ORIENTAL MINDORO,,0.9985457393,0.9988396326,56356,122429,178785,56096,122429,178525,205699400,612145000,817844400,204750400,612145000,816895400,612145000
IV-B,PALAWAN,,0.9964913544,0.997119713,78685,115692,194377,78006,115689,193695,287200250,578460000,865660250,284721900,578445000,863166900,578460000
III,PAMPANGA,,0.9942263549,0.994410725,51749,290669,342418,51152,289289,340441,266512500,1889348500,2155861000,263432800,1880378500,2143811300,1880632000
I,PANGASINAN,,1.008195107,1.005575258,128089,435540,563629,134819,433429,568248,531569350,2395470000,2927039350,559498850,2383859500,2943358350,2395470000
IV-A,QUEZON,,0.9684719814,0.9671133639,92192,366860,459052,92163,352416,444579,474788800,2384590000,2859378800,474639450,2290704000,2765343450,2384590000
II,QUIRINO,,0.9682189075,0.9615067165,8338,30144,38482,8307,28952,37259,34602700,165792000,200394700,33444850,159236000,192680850,165792000
IV-A,RIZAL,,0.9999626397,0.9999696513,41282,306681,347963,41269,306681,347950,212602300,1993426500,2206028800,212535350,1993426500,2205961850,1993426500
IV-B,ROMBLON,,0.9540388639,0.9508149496,18078,55049,73127,18062,51704,69766,65984700,275245000,341229700,65926300,258520000,324446300,274435000
VIII,SAMAR (WESTERN SAMAR),,0.9866237848,0.9855401189,56992,79818,136810,56717,78263,134980,208020800,399090000,607110800,207017050,391315000,598332050,399090000
XII,SARANGANI,,0.9899622581,0.9917877412,39750,59874,99624,38750,59874,98624,145087500,299370000,444457500,141437500,299370000,440807500,299370000
VII,SIQUIJOR,,0.7434939609,0.7362411508,3998,28126,32124,3979,19905,23884,18590700,168756000,187346700,18502350,119430000,137932350,163524000
V,SORSOGON,,0.9938934294,0.9951136407,59578,123831,183409,58458,123831,182289,217459700,619155000,836614700,213371700,619155000,832526700,619155000
XII,SOUTH COTABATO,,0.9896987041,0.990350501,65658,257214,322872,64245,255301,319546,239651700,1286070000,1525721700,234494250,1276505000,1510999250,1286070000
VIII,SOUTHERN LEYTE,,0.9830600063,0.9820372033,19064,60511,79575,19023,59204,78227,69583600,302555000,372138600,69433950,296020000,365453950,302555000
XII,SULTAN KUDARAT,,0.9954155953,0.9963464517,51575,116822,168397,50806,116819,167625,188248750,584110000,772358750,185441900,584095000,769536900,584110000
BARMM,SULU,,0.8961839851,0.9123716616,65152,72033,137185,51218,71725,122943,237804800,360165000,597969800,186945700,358625000,545570700,360165000
CARAGA,SURIGAO DEL NORTE,,0.9987029377,1.01207885,33353,52225,85578,33242,52225,85467,121738450,261125000,382863450,126363000,261125000,387488000,261125000
CARAGA,SURIGAO DEL SUR,,0.9978751778,0.9261881278,46340,66140,112480,46101,66140,112241,169141000,330700000,499841000,132246800,330700000,462946800,330700000
III,TARLAC,,0.994783856,0.9947126985,40338,205054,245392,40205,203907,244112,207745850,1332851000,1540596850,207055750,1325395500,1532451250,1325395500
BARMM,TAWI-TAWI,,0.9353029425,0.937878939,34181,24477,58658,31498,23365,54863,124760650,122385000,247145650,114967700,116825000,231792700,122385000
III,ZAMBALES,,0.9933955427,0.9936926256,20153,90227,110380,19868,89783,109651,103787950,586475500,690263450,102320200,583589500,685909700,583589500
IX,ZAMBOANGA DEL NORTE,,0.9903161417,0.9751404591,104367,121576,225943,102727,121028,223755,380939550,607880000,988819550,359097950,605140000,964237950,607880000
IX,ZAMBOANGA DEL SUR,,0.9953685793,0.982159465,142243,217042,359285,140579,217042,357621,519186950,1085210000,1604396950,490563650,1085210000,1575773650,1085210000
IX,ZAMBOANGA SIBUGAY,,0.9681304586,0.9479100077,57755,48271,106026,56855,45792,102647,210805750,241355000,452160750,199647700,228960000,428607700,232600000
IV-B,PALAWAN,ABORLAN,0.9885131856,0.9906526381,2356,3825,6181,2285,3825,6110,8599400,19125000,27724400,8340250,19125000,27465250,19125000
IV-B,OCCIDENTAL MINDORO,ABRA DE ILOG,0.998540856,0.9987485714,3400,2768,6168,3391,2768,6159,12410000,13840000,26250000,12377150,13840000,26217150,13840000
III,BATAAN,ABUCAY,0.9935108153,0.9935303578,840,5170,6010,834,5137,5971,4326000,33605000,37931000,4295100,33390500,37685600,33390500
II,CAGAYAN,ABULUG,0.9970121088,0.9964194708,1009,5350,6359,990,5350,6340,4187350,29425000,33612350,4067000,29425000,33492000,29425000
VIII,LEYTE,ABUYOG,0.9977212007,0.9982008121,3554,9172,12726,3525,9172,12697,12972100,45860000,58832100,12866250,45860000,58726250,45860000
